sample	tissue	path
m140320_135907	liver	m140320_135907_sherri_c110027181910000001823097005201474_s1_p0.3.bax.h5
m140320_172449	liver	m140320_172449_sherri_c110027181910000001823097005201475_s1_p0.1.bax.h5
m140320_172449	liver	m140320_172449_sherri_c110027181910000001823097005201475_s1_p0.2.bax.h5
m140320_172449	liver	m140320_172449_sherri_c110027181910000001823097005201475_s1_p0.3.bax.h5
m140326_032433	liver	m140326_032433_42141_c110038412550000001823107706241403_s1_p0.1.bax.h5
m140326_032433	liver	m140326_032433_42141_c110038412550000001823107706241403_s1_p0.2.bax.h5
m140326_032433	liver	m140326_032433_42141_c110038412550000001823107706241403_s1_p0.3.bax.h5
m140326_064556	liver	m140326_064556_42141_c110038412550000001823107706241404_s1_p0.1.bax.h5
m140326_064556	liver	m140326_064556_42141_c110038412550000001823107706241404_s1_p0.2.bax.h5
m140326_064556	liver	m140326_064556_42141_c110038412550000001823107706241404_s1_p0.3.bax.h5
m140326_100642	liver	m140326_100642_42141_c110038412550000001823107706241405_s1_p0.1.bax.h5
